CustomerID,Recency,Frequency,MonetaryValue,Future_MonetaryValue,Cluster,Segment
12346,226,1,77183.6,0.0,2,High Value
12347,30,5,2790.86,1519.14,1,Medium Value
12348,149,3,1487.24,310.0,0,Low Value
12350,211,1,334.40000000000003,0.0,0,Low Value
12352,163,5,1561.81,944.23,0,Low Value
12353,105,1,89.0,0.0,1,Medium Value
12354,133,1,1079.4,0.0,0,Low Value
12355,115,1,459.40000000000003,0.0,0,Low Value
12356,146,2,2753.08,58.349999999999994,0,Low Value
12358,51,1,484.86,683.2,1,Medium Value
12359,90,3,3495.73,2876.85,1,Medium Value
12360,13,2,1618.28,1043.78,1,Medium Value
12361,188,1,189.9,0.0,0,Low Value
12362,21,4,1747.3500000000001,3478.88,1,Medium Value
12363,10,2,552.0,0.0,1,Medium Value
12364,13,1,623.92,689.18,1,Medium Value
12365,192,2,641.38,0.0,0,Low Value
12370,175,3,2806.41,739.28,0,Low Value
12372,113,2,914.9200000000001,383.12,1,Medium Value
12373,212,1,364.6,0.0,0,Low Value
12377,216,2,1628.1200000000001,0.0,0,Low Value
12378,30,1,4008.62,0.0,1,Medium Value
12379,71,1,459.84,392.40000000000003,1,Medium Value
12380,86,1,607.5500000000001,2117.26,1,Medium Value
12381,20,1,1268.74,576.57,1,Medium Value
12383,86,5,1850.56,0.0,1,Medium Value
12384,22,1,292.69,292.58,1,Medium Value
12386,238,2,401.9,0.0,0,Low Value
12388,49,4,1668.3400000000001,1112.3200000000002,1,Medium Value
12393,146,3,1061.1000000000001,521.5,0,Low Value
12394,118,1,381.08,891.4000000000001,0,Low Value
12395,13,8,1899.57,1119.06,1,Medium Value
12397,36,1,1214.81,1195.09,1,Medium Value
12399,20,4,1108.65,0.0,1,Medium Value
12401,204,1,84.3,0.0,0,Low Value
12402,224,1,225.60000000000002,0.0,0,Low Value
12405,49,1,1710.39,0.0,1,Medium Value
12406,84,1,1621.25,1794.05,1,Medium Value
12407,35,4,1407.36,300.76,1,Medium Value
12408,76,3,1491.77,1396.78,1,Medium Value
12409,83,1,6207.08,4865.59,1,Medium Value
12410,209,2,693.33,0.0,0,Low Value
12412,38,2,890.74,336.14,1,Medium Value
12413,137,2,563.9,194.20000000000002,0,Low Value
12414,118,3,562.4100000000001,0.0,0,Low Value
12415,14,13,99146.16,25768.37,2,High Value
12417,7,7,2816.52,832.58,1,Medium Value
12418,13,1,668.58,0.0,1,Medium Value
12421,15,3,628.5600000000001,178.48000000000002,1,Medium Value
12422,69,2,655.86,147.7,1,Medium Value
12423,1,7,1650.67,208.64000000000001,1,Medium Value
12424,63,2,1760.96,0.0,1,Medium Value
12426,95,1,582.73,0.0,1,Medium Value
12427,272,1,303.5,522.3,0,Low Value
12428,21,8,7548.12,408.34000000000003,1,Medium Value
12429,73,3,2844.88,905.52,1,Medium Value
12431,20,11,4874.57,1612.88,1,Medium Value
12432,71,3,4016.66,1042.66,1,Medium Value
12433,267,2,3787.12,9588.75,0,Low Value
12434,161,1,286.25,519.89,0,Low Value
12435,169,1,3978.9900000000002,3850.9000000000005,0,Low Value
12437,78,9,2476.73,2474.68,1,Medium Value
12438,41,1,890.0699999999999,2016.78,1,Medium Value
12441,267,1,173.55,0.0,0,Low Value
12444,22,2,2627.27,2378.19,1,Medium Value
12447,144,1,476.49,0.0,0,Low Value
12449,30,2,1636.88,2430.41,1,Medium Value
12450,57,2,197.88,0.0,1,Medium Value
12451,119,2,5307.82,3727.7,0,Low Value
12453,35,1,707.09,0.0,1,Medium Value
12455,28,5,2176.36,290.5,1,Medium Value
12456,32,2,2265.4,915.64,1,Medium Value
12457,134,3,1067.25,1295.98,0,Low Value
12458,185,1,441.92,505.48,0,Low Value
12461,55,1,626.88,200.0,1,Medium Value
12462,204,1,762.11,427.48,0,Low Value
12463,76,3,985.7900000000001,358.99,1,Medium Value
12464,7,6,780.55,431.5,1,Medium Value
12465,70,1,440.94,301.25,1,Medium Value
12468,88,2,729.54,0.0,1,Medium Value
12471,8,19,11116.4,8707.65,1,Medium Value
12472,39,5,4927.6,1644.51,1,Medium Value
12473,15,2,1186.25,2752.3,1,Medium Value
12474,38,12,3896.38,3479.41,1,Medium Value
12476,42,6,3191.67,3624.75,1,Medium Value
12477,1,3,8834.03,4385.71,1,Medium Value
12480,44,3,2144.95,1136.6799999999998,1,Medium Value
12481,80,8,4101.76,1494.56,1,Medium Value
12483,84,5,1314.6100000000001,1170.3700000000001,1,Medium Value
12484,1,4,3663.15,878.5699999999999,1,Medium Value
12489,237,1,334.93,0.0,0,Low Value
12490,1,5,2516.77,2901.16,1,Medium Value
12492,6,1,126.39000000000001,136.82,1,Medium Value
12493,66,2,433.74,0.0,1,Medium Value
12494,62,5,868.86,377.24,1,Medium Value
12500,7,6,1773.84,2483.98,1,Medium Value
12501,237,1,2169.39,0.0,0,Low Value
12502,28,4,2631.52,1092.35,1,Medium Value
12506,133,1,73.5,0.0,0,Low Value
12507,35,3,1304.81,0.0,1,Medium Value
12509,185,1,176.5,0.0,0,Low Value
12510,43,2,982.5699999999999,0.0,1,Medium Value
12513,13,1,612.29,0.0,1,Medium Value
12514,168,1,1017.6800000000001,0.0,0,Low Value
12515,254,1,383.7,0.0,0,Low Value
12516,81,1,583.2,728.86,1,Medium Value
12517,27,2,1538.7,964.14,1,Medium Value
12518,11,1,324.83,1732.06,1,Medium Value
12520,43,4,2045.85,588.41,1,Medium Value
12521,43,1,599.68,0.0,1,Medium Value
12523,8,7,1017.75,772.02,1,Medium Value
12524,63,6,3122.48,1363.24,1,Medium Value
12527,195,2,284.92,63.79,0,Low Value
12528,15,4,1287.37,646.11,1,Medium Value
12530,24,3,1221.65,440.63,1,Medium Value
12534,31,1,1089.18,0.0,1,Medium Value
12535,87,1,371.45,344.9,1,Medium Value
12539,163,3,4517.69,1050.66,0,Low Value
12540,9,10,8786.87,4613.37,1,Medium Value
12541,74,2,536.14,445.03999999999996,1,Medium Value
12545,160,1,628.15,372.24,0,Low Value
12547,98,2,207.8,0.0,1,Medium Value
12548,67,1,95.19999999999999,0.0,1,Medium Value
12551,258,1,168.0,0.0,0,Low Value
12553,11,7,2419.59,1272.69,1,Medium Value
12556,52,1,312.9,290.81,1,Medium Value
12557,59,4,9000.960000000001,2990.0,1,Medium Value
12559,211,2,561.71,0.0,0,Low Value
12560,13,2,1436.31,697.7,1,Medium Value
12561,203,1,238.85,0.0,0,Low Value
12562,27,3,1605.23,2176.51,1,Medium Value
12564,162,1,456.90000000000003,0.0,0,Low Value
12565,189,1,145.92000000000002,0.0,0,Low Value
12567,9,8,6958.16,2443.12,1,Medium Value
12569,8,12,1883.02,2241.67,1,Medium Value
12571,22,1,248.35,271.26,1,Medium Value
12573,128,1,160.54000000000002,0.0,0,Low Value
12574,216,1,218.45000000000002,0.0,0,Low Value
12576,50,3,660.85,654.98,1,Medium Value
12577,260,1,195.89,461.91,0,Low Value
12578,231,1,1608.66,1185.85,0,Low Value
12580,147,1,415.7,0.0,0,Low Value
12582,139,2,511.36,0.0,0,Low Value
12583,7,9,4232.21,3049.17,1,Medium Value
12584,28,4,782.59,1555.56,1,Medium Value
12585,135,2,2040.1,0.0,0,Low Value
12589,45,1,131.5,515.18,1,Medium Value
12590,112,2,9864.26,0.0,1,Medium Value
12591,218,1,452.84999999999997,0.0,0,Low Value
12592,114,1,231.8,205.8,0,Low Value
12593,9,3,418.1,0.0,1,Medium Value
12594,22,8,2529.9,808.32,1,Medium Value
12596,143,1,269.95,348.32,0,Low Value
12597,84,2,1428.81,2382.41,1,Medium Value
12598,62,4,1584.38,1438.7,1,Medium Value
12599,27,6,857.04,175.54000000000002,1,Medium Value
12600,13,8,1936.56,662.48,1,Medium Value
12601,90,5,577.0600000000001,0.0,1,Medium Value
12604,162,1,178.5,75.67999999999999,0,Low Value
12609,87,2,800.73,326.12,1,Medium Value
12610,7,2,1256.25,843.29,1,Medium Value
12613,98,4,1462.52,1881.8600000000001,1,Medium Value
12614,178,1,315.6,0.0,0,Low Value
12615,69,1,634.74,1656.45,1,Medium Value
12616,198,1,255.60000000000002,457.7,0,Low Value
12619,17,5,2087.46,1553.78,1,Medium Value
12620,105,1,561.66,777.75,1,Medium Value
12621,1,15,10195.04,3494.63,1,Medium Value
12622,133,1,180.1,0.0,0,Low Value
12623,177,1,305.1,0.0,0,Low Value
12624,7,2,641.13,0.0,1,Medium Value
12625,112,2,2683.82,0.0,1,Medium Value
12626,13,6,4774.0,1846.48,1,Medium Value
12627,9,4,1908.57,2569.96,1,Medium Value
12633,30,3,1948.75,215.23000000000002,1,Medium Value
12635,55,1,683.64,1005.54,1,Medium Value
12637,58,5,3054.1,2967.8,1,Medium Value
12639,139,1,486.1,0.0,0,Low Value
12641,16,1,185.9,0.0,1,Medium Value
12642,8,1,366.45,646.81,1,Medium Value
12643,29,6,3344.64,0.0,1,Medium Value
12644,30,1,477.90999999999997,0.0,1,Medium Value
12645,10,3,1310.8600000000001,464.32,1,Medium Value
12647,27,9,2886.71,836.11,1,Medium Value
12648,55,1,318.05,0.0,1,Medium Value
12649,8,3,623.51,0.0,1,Medium Value
12651,235,1,114.0,0.0,0,Low Value
12652,232,1,919.98,0.0,0,Low Value
12653,49,2,2209.85,0.0,1,Medium Value
12654,98,3,337.75,264.23,1,Medium Value
12656,17,3,2820.67,1230.5,1,Medium Value
12662,8,7,2653.66,1196.1200000000001,1,Medium Value
12664,44,3,1957.48,2924.4,1,Medium Value
12665,225,1,63.0,0.0,0,Low Value
12668,160,3,2924.4700000000003,882.6800000000001,0,Low Value
